"velocity_vectors:0","velocity_vectors:1","velocity_vectors:2","another_vector_set:0","another_vector_set:1","another_vector_set:2","EinLustigerSkalar","Points:0","Points:1","Points:2"
0.67879,-0.59216,-0.43427,6.7879,-1.1843,-0.43427,1,8.5e-008,7.5e-008,3.5e-008
-0.26692,0.097284,-0.9588,-2.6692,0.19457,-0.9588,1,8.5e-008,6.5e-008,3.5e-008
-0.99363,-0.11166,-0.015499,-9.9363,-0.22332,-0.015499,1,8.5e-008,8.5e-008,3.5e-008
-0.30581,0.41504,0.85687,-3.0581,0.83008,0.85687,1,8.5e-008,9.5e-008,3.5e-008
-0.78621,-0.037578,-0.61682,-7.8621,-0.075157,-0.61682,1,9.5e-008,7.5e-008,3.5e-008
-0.56308,-0.024422,-0.82604,-5.6308,-0.048844,-0.82604,1,9.5e-008,6.5e-008,3.5e-008
-0.91481,-0.15128,-0.37447,-9.1481,-0.30256,-0.37447,1,9.5e-008,8.5e-008,3.5e-008
-0.92053,-0.24377,-0.3053,-9.2053,-0.48754,-0.3053,1,9.5e-008,9.5e-008,3.5e-008
0.38722,-0.67295,-0.63023,3.8722,-1.3459,-0.63023,1,9.5e-008,5.5e-008,3.5e-008
-0.30937,0.017554,-0.95078,-3.0937,0.035107,-0.95078,1,1.05e-007,6.5e-008,3.5e-008
0.11826,-0.55154,-0.82572,1.1826,-1.1031,-0.82572,1,1.05e-007,5.5e-008,3.5e-008
-0.51673,-0.025236,-0.85578,-5.1673,-0.050472,-0.85578,1,1.05e-007,7.5e-008,3.5e-008
-0.71507,-0.08972,-0.69327,-7.1507,-0.17944,-0.69327,1,1.05e-007,8.5e-008,3.5e-008
-0.81548,-0.11611,-0.56702,-8.1548,-0.23222,-0.56702,1,1.05e-007,9.5e-008,3.5e-008
-0.91621,-0.19084,-0.35234,-9.1621,-0.38168,-0.35234,1,9.5e-008,1.05e-007,3.5e-008
-0.84915,-0.076403,-0.5226,-8.4915,-0.15281,-0.5226,1,1.05e-007,1.05e-007,3.5e-008
-0.14566,0.081395,-0.98598,-1.4566,0.16279,-0.98598,1,1.15e-007,6.5e-008,3.5e-008
-0.96618,0.25345,-0.04751,-9.6618,0.5069,-0.04751,1,1.15e-007,5.5e-008,3.5e-008
-0.27553,0.07476,-0.95838,-2.7553,0.14952,-0.95838,1,1.15e-007,7.5e-008,3.5e-008
-0.46374,0.067246,-0.88342,-4.6374,0.13449,-0.88342,1,1.15e-007,8.5e-008,3.5e-008
-0.62309,0.078847,-0.77816,-6.2309,0.15769,-0.77816,1,1.15e-007,9.5e-008,3.5e-008
-0.71122,0.10505,-0.69507,-7.1122,0.21011,-0.69507,1,1.15e-007,1.05e-007,3.5e-008
